Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
54300;27991;19482;16212;14535;14389;12943;12870
54400;28179;19112;16502;14380;14946;12954;12989
54500;29403;19345;16426;14368;15014;13313;13041
54600;29834;19033;16404;14346;14387;12931;13058
54700;29366;20241;18031;14499;14587;14053;13872
54800;29112;20742;17063;14748;14984;13298;13315
54900;29600;19048;17049;14427;14902;12936;13022
55000;28153;19682;16436;14406;14401;12999;13002
55100;29018;19103;16558;14461;15129;13397;13007
55200;28903;19268;16387;14511;14516;13006;13191
55300;29964;19546;16754;15239;14643;13074;13127
55400;29558;19578;16751;14823;14683;13463;13097
55500;29229;19960;16867;14685;14676;13277;13274
55600;29542;19688;17762;14848;15070;14253;13524
55700;29754;20383;17324;14958;15381;13639;13617
55800;29492;20579;17049;15258;14810;13890;13571
55900;29710;20216;16897;14997;15332;13283;13250
56000;29425;19289;17205;15292;14700;13211;13193
56100;29371;19423;16643;14673;14657;13182;13331
56200;29609;19712;16655;15117;14846;13449;13241
56300;30442;19963;16918;14736;14793;13240;13476
56400;30658;21512;17116;15764;15156;13556;13311
56500;30531;21812;17031;15060;15513;13467;13426
56600;30347;21234;17693;14752;14816;13381;14036
56700;30381;21045;16948;14937;14789;13401;13346
56800;30367;22300;16979;14758;14800;13383;13371
56900;31362;21356;17079;14945;15578;13536;13435
57000;30543;20973;16969;14983;14807;13643;13390
57100;31113;22057;17658;15120;15123;13422;13510
57200;35363;23564;19094;16374;15840;14315;15376
57300;31795;21553;18078;15656;15512;13614;14249
57400;31835;22355;17684;16375;15396;14165;14588
57500;32900;23502;18960;16873;16639;14091;13630
57600;31593;21553;17171;15284;15216;13885;13679
57700;31512;21929;17057;16151;15532;13897;13802
57800;31946;21846;18110;15289;15744;13567;13980
57900;31526;21850;17542;15136;15249;14035;13591
58000;31233;21523;17456;15968;15086;14521;14004
58100;32208;21358;17404;15104;15784;13777;13822
58200;31002;22184;17403;15193;15128;13877;13626
58300;31911;21383;17262;15279;15131;13698;14013
